timestamp,btc_price,adx_15m,dmp_15m,dmn_15m,atr_15m,volume_15m
2026-03-26T17:45:04.020168+00:00,68960.27,53.77,14.68,29.12,231.56,169.62
2026-03-26T18:00:03.762163+00:00,68476.39,43.23,12.36,37.14,255.98,745.9
2026-03-26T18:15:03.009022+00:00,68443.77,32.96,11.8,34.99,257.16,298.59
2026-03-26T18:30:03.182518+00:00,68184.55,41.74,10.4,36.5,260.37,512.46
2026-03-26T18:45:03.162594+00:00,68321.53,34.22,10.46,34.62,254.24,415.31
2026-03-26T19:00:04.383550+00:00,68499.99,40.54,13.52,32.71,250.1,176.2
2026-03-26T19:15:03.164435+00:00,68457.4,48.12,13.34,32.68,241.41,104.84
2026-03-26T19:30:02.914265+00:00,68449.76,47.34,14.31,30.75,238.26,127.45
2026-03-26T19:45:02.898110+00:00,68633.12,31.88,16.5,26.76,244.1,145.18
2026-03-26T20:00:03.787391+00:00,68539.58,47.03,15.06,27.04,239.51,166.5
2026-03-26T20:15:03.083736+00:00,69174.77,42.13,30.45,19.52,297.27,775.98
2026-03-26T20:30:02.849155+00:00,69190.19,37.39,28.43,17.65,295.42,507.7
2026-03-26T20:45:02.434717+00:00,69175.38,26.42,27.76,16.51,290.41,164.04
2026-03-26T21:00:04.468206+00:00,68973.19,25.03,25.48,20.41,294.03,259.94
2026-03-26T21:15:03.196342+00:00,68912.92,36.41,23.68,20.24,282.46,174.21
2026-03-26T21:30:02.874744+00:00,69092.49,41.95,26.67,22.66,285.58,177.25
2026-03-26T21:45:02.672347+00:00,69020.97,31.4,25.77,17.32,277.04,119.69
2026-03-26T22:00:03.935945+00:00,68959.46,25.32,25.07,18.3,264.1,127.54
2026-03-26T22:15:03.148117+00:00,68972.95,23.79,24.67,18.58,256.88,98.37
2026-03-26T22:30:02.909391+00:00,68728.83,29.72,21.25,24.46,265.54,191.49
2026-03-26T22:45:02.505121+00:00,68796.23,23.74,20.49,23.22,255.74,107.34
2026-03-26T23:00:04.297755+00:00,68931.03,19.89,22.5,21.87,246.48,87.19
2026-03-26T23:15:03.119694+00:00,68824.74,26.3,23.08,23.4,243.73,119.53
2026-03-26T23:30:02.907537+00:00,68735.78,19.03,21.72,23.75,241.28,114.42
2026-03-26T23:45:02.453212+00:00,68749.98,20.34,20.8,23.25,232.64,96.95
2026-03-27T00:00:05.492948+00:00,68829.56,20.18,22.05,22.46,224.05,59.51
2026-03-27T00:15:03.320028+00:00,68931.15,17.37,24.13,20.01,227.05,278.4
2026-03-27T00:30:03.188086+00:00,68732.27,19.75,22.11,19.64,227.32,78.16
2026-03-27T00:45:02.797576+00:00,68694.01,15.93,20.34,23.16,230.32,220.79
2026-03-27T01:00:04.151942+00:00,68799.08,11.14,20.44,21.71,227.53,57.12
2026-03-27T01:15:02.956789+00:00,68866.22,16.31,20.83,20.87,225.33,244.14
2026-03-27T01:30:02.638316+00:00,68909.83,17.34,22.13,21.53,218.43,173.67
2026-03-27T01:45:03.154095+00:00,68907.0,21.99,25.92,18.72,210.35,70.4
2026-03-27T02:00:04.846136+00:00,69051.67,15.58,23.96,17.53,208.88,66.85
2026-03-27T02:15:02.663330+00:00,69051.07,16.63,26.84,18.36,202.95,159.31
2026-03-27T02:30:03.159991+00:00,69023.45,12.64,26.8,19.32,195.44,163.04
2026-03-27T02:45:02.728248+00:00,68920.5,18.65,23.83,24.67,196.22,369.92
2026-03-27T03:00:04.115043+00:00,68924.0,21.48,22.93,25.53,189.51,256.19
2026-03-27T03:15:02.871104+00:00,68770.57,18.57,20.97,29.84,194.12,253.96
2026-03-27T03:30:02.728762+00:00,68839.31,16.2,20.11,24.44,187.39,82.26
2026-03-27T03:45:02.447483+00:00,68869.55,18.59,24.08,23.42,180.12,73.76
2026-03-27T04:00:04.113958+00:00,68767.5,13.48,20.51,24.59,175.92,167.0
2026-03-27T04:15:02.856339+00:00,68405.24,14.76,16.86,37.75,198.11,344.26
2026-03-27T04:30:03.024477+00:00,68525.56,15.3,15.83,34.55,196.71,236.62
2026-03-27T04:45:02.597881+00:00,68591.84,16.31,17.29,32.48,190.9,195.02
2026-03-27T05:00:03.847327+00:00,68559.61,21.84,18.22,31.44,182.44,70.57
2026-03-27T05:15:02.618508+00:00,68820.0,20.07,22.8,28.15,189.3,176.05
2026-03-27T05:30:03.031821+00:00,68599.4,20.13,22.61,25.22,196.36,109.63
2026-03-27T05:45:02.670773+00:00,68602.78,37.96,19.8,34.05,197.71,284.04
2026-03-27T06:00:04.636498+00:00,68630.76,15.0,19.45,25.99,188.95,204.03
2026-03-27T06:15:02.700474+00:00,68751.32,17.09,22.67,25.65,187.23,84.22
2026-03-27T06:30:03.407471+00:00,68795.0,19.01,25.13,21.81,183.49,216.84
2026-03-27T06:45:02.903034+00:00,68716.42,21.75,26.3,20.84,177.62,266.26
2026-03-27T07:00:02.956653+00:00,68663.03,16.05,23.06,23.69,172.69,104.76
2026-03-27T07:15:02.768082+00:00,68842.89,15.04,27.23,20.79,182.25,184.36
2026-03-27T07:30:03.474014+00:00,68924.83,16.97,28.34,19.5,180.86,150.24
2026-03-27T07:45:03.049740+00:00,68602.45,12.72,22.91,26.0,196.95,552.13
2026-03-27T08:00:04.145033+00:00,68545.31,38.27,32.08,28.95,200.39,755.04
2026-03-27T08:15:03.325967+00:00,68471.29,16.59,19.07,27.75,199.03,308.96
2026-03-27T08:30:03.055443+00:00,68233.01,17.68,17.16,33.16,201.15,266.87
2026-03-27T08:45:02.988743+00:00,67830.69,32.7,13.57,47.66,235.91,997.85
2026-03-27T09:00:03.623944+00:00,67920.51,20.53,12.41,40.98,240.24,243.9
2026-03-27T09:15:03.189822+00:00,67743.36,26.56,13.22,42.23,251.01,359.7
2026-03-27T09:30:03.078066+00:00,67927.19,28.27,10.46,39.72,248.92,138.69
2026-03-27T09:45:02.732042+00:00,67723.8,34.84,9.77,38.76,246.46,174.24
2026-03-27T10:00:04.472308+00:00,67695.82,33.96,9.18,37.08,243.28,139.62
2026-03-27T10:15:03.057512+00:00,67670.68,47.46,8.74,39.99,237.54,143.29
2026-03-27T10:30:03.089535+00:00,67765.55,35.63,8.75,35.47,229.05,91.66
2026-03-27T10:45:03.617735+00:00,66901.45,38.92,7.2,48.43,280.48,1467.05
2026-03-27T11:00:05.000591+00:00,66505.92,41.87,6.55,52.73,304.6,1310.93
2026-03-27T11:15:03.734619+00:00,66616.45,52.68,5.03,51.57,311.26,708.83
2026-03-27T11:30:02.719812+00:00,66690.64,46.35,7.6,48.43,298.75,405.2
2026-03-27T11:45:03.056334+00:00,66764.79,47.16,8.78,46.94,285.81,297.38
2026-03-27T12:00:04.828505+00:00,66744.33,46.37,10.9,44.78,278.0,271.79
2026-03-27T12:15:02.751109+00:00,66650.01,52.35,9.18,44.72,270.65,261.69
2026-03-27T12:30:03.435784+00:00,66540.5,62.75,8.72,46.71,264.48,244.54
2026-03-27T12:45:03.097753+00:00,66626.77,53.03,8.24,44.52,260.2,278.02
2026-03-27T13:00:04.413694+00:00,66629.65,48.38,10.08,41.98,255.77,180.31
2026-03-27T13:15:03.077387+00:00,66520.0,50.9,10.41,39.52,252.28,214.75
2026-03-27T13:30:03.093162+00:00,66667.78,58.18,8.96,37.78,250.54,196.25
2026-03-27T13:45:02.934056+00:00,66512.65,50.75,8.79,40.7,276.7,1471.61
2026-03-27T14:00:04.194380+00:00,66150.41,52.73,7.53,38.18,296.64,545.12
2026-03-27T14:15:03.086746+00:00,66346.77,65.07,5.9,36.22,297.07,497.76
2026-03-27T14:30:03.441127+00:00,65746.3,66.26,5.04,39.2,322.29,1079.68
2026-03-27T14:45:03.132118+00:00,65917.69,62.35,4.75,36.04,318.7,474.19
2026-03-27T15:00:04.956353+00:00,66216.33,69.16,9.6,34.17,328.87,423.87
2026-03-27T15:15:03.205442+00:00,66243.15,60.13,10.2,30.88,319.68,529.26
2026-03-27T15:30:03.334728+00:00,66326.48,56.2,13.15,27.53,332.17,681.1
2026-03-27T15:45:03.386168+00:00,66408.34,58.03,15.44,25.76,334.26,672.89
2026-03-27T16:00:04.910638+00:00,66104.58,66.37,14.2,31.11,337.41,522.0
2026-03-27T16:15:03.291386+00:00,65962.2,56.14,13.36,31.42,335.14,403.74
2026-03-27T16:30:03.762204+00:00,65955.44,48.75,13.04,29.48,329.89,258.91
2026-03-27T16:45:03.142879+00:00,66013.79,49.48,11.99,28.05,321.65,316.69
2026-03-27T17:00:03.864430+00:00,66002.19,38.82,15.89,25.93,322.76,247.38
2026-03-27T17:15:02.702099+00:00,66216.81,44.63,15.92,23.96,325.48,261.92
2026-03-27T17:30:03.306055+00:00,65890.27,53.36,14.11,24.12,331.67,268.77
2026-03-27T17:45:03.397615+00:00,65626.57,49.9,13.13,27.44,330.58,304.68
2026-03-27T18:00:04.469834+00:00,65647.29,35.6,13.76,26.51,316.9,166.79
2026-03-27T18:15:03.090282+00:00,65625.64,37.7,13.94,25.29,309.07,389.04
2026-03-27T18:30:02.827192+00:00,65763.49,48.45,13.79,23.41,309.72,190.93
2026-03-27T18:45:02.762191+00:00,65796.18,49.23,13.64,23.38,298.89,219.39
2026-03-27T19:00:04.295355+00:00,65840.36,26.34,16.52,21.5,289.57,116.46
2026-03-27T19:15:03.128101+00:00,65769.17,36.87,14.8,23.13,280.66,133.64
2026-03-27T19:30:03.032985+00:00,65943.58,49.25,16.76,24.21,278.14,255.6
2026-03-27T19:45:02.559000+00:00,65933.03,44.31,17.41,22.0,271.56,122.34
2026-03-27T20:00:05.431840+00:00,66045.65,37.16,18.85,18.83,271.05,306.75
2026-03-27T20:15:03.419818+00:00,66000.0,40.63,18.22,20.49,262.91,242.26
2026-03-27T20:30:03.174881+00:00,65891.08,47.74,16.86,28.18,264.53,119.61
2026-03-27T20:45:02.605700+00:00,65902.41,27.82,16.37,20.38,255.35,84.72
2026-03-27T21:00:03.754997+00:00,66020.77,33.84,19.34,21.58,249.88,64.5
2026-03-27T21:15:02.867698+00:00,66151.33,22.92,21.18,18.08,244.39,214.83
2026-03-27T21:30:02.535306+00:00,66158.8,24.23,20.54,18.02,231.65,143.14
2026-03-27T21:45:03.020001+00:00,66129.9,22.21,19.66,19.17,224.77,92.0
2026-03-27T22:00:04.010586+00:00,66040.42,21.5,18.92,19.4,216.75,186.74
2026-03-27T22:15:03.149436+00:00,66003.53,17.23,18.09,19.97,211.67,187.54
2026-03-27T22:30:02.716433+00:00,66020.92,44.79,17.19,31.38,204.86,304.59
2026-03-27T22:45:03.169481+00:00,66041.86,33.84,16.62,25.92,201.36,185.56
2026-03-27T23:00:04.064039+00:00,66037.4,17.02,16.97,19.6,188.09,62.17
2026-03-27T23:15:02.940054+00:00,66094.58,7.9,17.95,18.92,182.21,70.93
2026-03-27T23:30:02.614370+00:00,66189.74,10.75,20.29,17.68,179.56,85.07
2026-03-27T23:45:03.021469+00:00,66283.35,7.42,22.98,16.62,177.16,158.67
2026-03-28T00:00:03.741713+00:00,66407.27,14.84,25.2,16.76,175.34,190.26
2026-03-28T00:15:03.234337+00:00,66306.23,14.49,25.36,15.55,176.46,133.07
2026-03-28T00:30:02.811451+00:00,66375.86,14.66,24.25,15.16,171.37,129.38
2026-03-28T00:45:02.250826+00:00,66489.13,14.02,28.46,12.59,170.38,122.07
2026-03-28T01:00:03.909987+00:00,66431.55,15.93,27.34,12.09,164.66,115.36
2026-03-28T01:15:02.998911+00:00,66163.07,16.69,22.99,23.07,176.39,176.63
2026-03-28T01:30:02.625957+00:00,66217.1,25.03,21.62,26.85,174.23,85.39
2026-03-28T01:45:03.030289+00:00,66149.25,15.96,19.78,24.71,179.06,168.2
2026-03-28T02:00:04.100146+00:00,66170.46,13.74,19.11,21.89,171.88,182.97
2026-03-28T02:15:02.701850+00:00,66197.3,24.36,20.33,27.23,165.95,120.45
2026-03-28T02:30:03.115382+00:00,66052.63,14.37,18.75,24.27,169.06,88.96
2026-03-28T02:45:02.737501+00:00,66032.52,29.63,21.82,26.6,165.4,121.29
